Case Number,Law Enforcement Case Number,Date of Crash,Y-Coordinate (UTM NAD 83 Zone 15),X-Coordinate (UTM NAD 83 Zone 15),Time,Day of Week,County,Road System,Route,Cardinal Direction of Vehicles,Mainline or Ramp,Overpass/Underpass Information,Derived Literal Description,Road Classification,Intersection Class,Crash Severity,Amount of Property Damage,Major Cause,Drug or Alcohol Related,Driver Age,Driver Age - 5 year Bins,Driver Gender
20191140756,19-1078,20191025,4604428,457107,17:13,Friday,Polk,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E OAKWOOD DR & HICKORY BLVD & N HICKORY BLVD,Municipal Road,Municipal - Municipal,Suspected Minor Injury Crash,15000,Ran stop sign,Alcohol (Statutory),22,>= 21 and <= 24,Female
20191140756,19-1078,20191025,4604428,457107,17:13,Friday,Polk,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E OAKWOOD DR & HICKORY BLVD & N HICKORY BLVD,Municipal Road,Municipal - Municipal,Suspected Minor Injury Crash,15000,Ran stop sign,Alcohol (Statutory),72,>= 70 and <= 74,Male
20191140785,20190033981,20191025,4605527,451189,20:04,Friday,Polk,Interstate,235,Ramp,Ramp,Not reported,I-235,Interstate,Not Indicated as an Intersection,Suspected Minor Injury Crash,10000,Ran off road - left,Alcohol (Statutory),46,>= 45 and <= 49,Male
20191140816,2019-83635,20191007,4603249,706212,14:47,Monday,Scott,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,ELMORE AVE,Municipal Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,12000,Driver Distraction:  Inattentive/lost in thought,Refused,50,>= 50 and <= 54,Female
20191140816,2019-83635,20191007,4603249,706212,14:47,Monday,Scott,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,ELMORE AVE,Municipal Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,12000,Driver Distraction:  Inattentive/lost in thought,Refused,55,>= 55 and <= 59,Male
20191140847,201909352,20191026,4654262,404897,05:09,Saturday,Boone,US Route,30,Both East and West,Mainline,Not reported,US 30/220TH ST,US Route,Not Indicated as an Intersection,Property Damage Only,6000,Lost control,Alcohol (Statutory),28,>= 25 and <= 29,Male
20191140847,201909352,20191026,4654262,404897,05:09,Saturday,Boone,US Route,30,Both East and West,Mainline,Not reported,US 30/220TH ST,US Route,Not Indicated as an Intersection,Property Damage Only,6000,Lost control,Alcohol (Statutory),21,>= 21 and <= 24,Male
20191140854,2019028775,20191025,4771085,472105,02:00,Friday,Cerro Gordo,Interstate,35,Ramp,Ramp,Not reported,I-35,Interstate,Not Indicated as an Intersection,Suspected Minor Injury Crash,8500,Ran off road - straight,Alcohol (Statutory),19,= 19,Male
20191140911,SOI20190437,20191027,4610958,537299,01:08,Sunday,Poweshiek,US Route,63,Northbound (NB),Mainline,Not reported,US 63,US Route,Not Indicated as an Intersection,Property Damage Only,6000,Lost control,Alcohol (Statutory),24,>= 21 and <= 24,Male
20191140965,W19-088448,20191026,4704931,554214,23:56,Saturday,Black Hawk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,W 4TH ST,Municipal Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,1000,Other,Refused,50,>= 50 and <= 54,Male
20191141025,20190034156,20191027,4460000,190000,16:06,Sunday,Polk,Construction,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,,Unknown,Not Indicated as an Intersection,Possible/Unknown Injury Crash,4100,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),27,>= 25 and <= 29,Male
20191141027,19-4584,20191026,4716049,347749,01:40,Saturday,Pocahontas,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd N28/130TH AVE & BRIDGE ST,Secondary Road,Secondary - Municipal,Property Damage Only,1700,Made improper turn,Alcohol (Statutory),39,>= 35 and <= 39,Female
20191141048,2019-88761,20191026,4598340,698773,14:56,Saturday,Scott,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,ROCKINGHAM RD & ROLFF ST,Municipal Road,Municipal - Municipal,Property Damage Only,1500,Operating vehicle in an reckless, erratic, careless, negligent manner,Refused,30,>= 30 and <= 34,Male
20191141048,2019-88761,20191026,4598340,698773,14:56,Saturday,Scott,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,ROCKINGHAM RD & ROLFF ST,Municipal Road,Municipal - Municipal,Property Damage Only,1500,Operating vehicle in an reckless, erratic, careless, negligent manner,Refused,47,>= 45 and <= 49,Male
20191141110,2019-008045,20191025,4704880,689065,23:17,Friday,Dubuque,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,VALENTINE DR,Municipal Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,8000,Ran off road - left,Refused,19,= 19,Male
20191141138,19-35528,20191026,4460000,190000,16:11,Saturday,Woodbury,Construction,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,,Unknown,Not Indicated as an Intersection,Property Damage Only,2100,Operating vehicle in an reckless, erratic, careless, negligent manner,Refused,19,= 19,Male
20191141142,19-35543,20191026,4705915,223857,18:15,Saturday,Woodbury,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,SERGEANT RD,Municipal Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,3000,Lost control,Alcohol (Statutory),35,>= 35 and <= 39,Male
20191141146,19-35563,20191026,4710086,219345,21:00,Saturday,Woodbury,Interstate,29,No Travel Direction Consistent with Route,Mainline,Not reported,I-29,Interstate,Not Indicated as an Intersection,Possible/Unknown Injury Crash,5000,Exceeded authorized speed,Alcohol (Statutory),60,>= 60 and <= 64,Male
20191141196,2019-79748,20190923,4607841,702265,21:05,Monday,Scott,Interstate,80,Westbound (WB),Mainline,Not reported,I-80,Interstate,Not Indicated as an Intersection,Property Damage Only,50000,Ran off road - straight,Refused,50,>= 50 and <= 54,Male
20191141206,2019028659,20191023,4602004,385255,20:10,Wednesday,Guthrie,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,TALON AVE & 310TH ST,Secondary Road,Secondary - Secondary,Suspected Minor Injury Crash,4500,Driving too fast for conditions,Refused,33,>= 30 and <= 34,Male
20191141254,19-060322,20191023,4740207,340272,21:29,Wednesday,Buena Vista,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd N14/230TH AVE,Secondary Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,18000,Driver Distraction:  Inattentive/lost in thought,Under Influence of Alcohol/Drugs/Medications,23,>= 21 and <= 24,Male
20191141398,2019-003189,20190504,4707330,692066,17:10,Saturday,Dubuque,US Route,52,Northbound (NB),Mainline,On overpass,US 52/KERRIGAN RD & IA 946/IOWA 946,US Route,US Route - IA Route,Suspected Serious Injury Crash,5000,Lost control,Alcohol (< Statutory),63,>= 60 and <= 64,Male
20191141400,2019-008074,20191027,4708425,692335,03:14,Sunday,Dubuque,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,KERPER BLVD,Municipal Road,Not Indicated as an Intersection,Property Damage Only,3500,Followed too close,Alcohol (Statutory),25,>= 25 and <= 29,Male
20191141400,2019-008074,20191027,4708425,692335,03:14,Sunday,Dubuque,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,KERPER BLVD,Municipal Road,Not Indicated as an Intersection,Property Damage Only,3500,Followed too close,Alcohol (Statutory),34,>= 30 and <= 34,Female
20191141473,19041668,20191028,4588044,663288,13:33,Monday,Muscatine,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E 7TH ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,8000,Lost control,Refused,37,>= 35 and <= 39,Male
20191141473,19041668,20191028,4588044,663288,13:33,Monday,Muscatine,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E 7TH ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,8000,Lost control,Refused,200,,Not reported
20191141548,19-010993,20191022,4660201,595174,20:07,Tuesday,Benton,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,33 AVE DR,Secondary Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,5000,Ran off road - left,Alcohol (Statutory),22,>= 21 and <= 24,Male
20191141581,19004997,20190901,4584412,383184,05:15,Sunday,Adair,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd G27/170TH ST,Secondary Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,8500,Ran off road - right,Alcohol (Statutory),18,= 18,Male
20191141623,19-016778,20191030,4571977,260118,02:50,Wednesday,Pottawattamie,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,AVE B,Municipal Road,Not Indicated as an Intersection,Property Damage Only,4000,Ran off road - right,Refused,24,>= 21 and <= 24,Female
20191141652,19-13473,20191027,4781633,221571,22:03,Sunday,Sioux,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd B30/360TH ST,Secondary Road,Not Indicated as an Intersection,Property Damage Only,3100,Driver Distraction:  Other interior distraction,Alcohol (Statutory),53,>= 50 and <= 54,Male
20191141669,2019-01007,20191020,4604870,428156,12:07,Sunday,Dallas,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,SE PRAIRIE CREEK DR,Municipal Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,2500,Other,Under Influence of Alcohol/Drugs/Medications,50,>= 50 and <= 54,Male
20191141669,2019-01007,20191020,4604870,428156,12:07,Sunday,Dallas,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,SE PRAIRIE CREEK DR,Municipal Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,2500,Other,Under Influence of Alcohol/Drugs/Medications,200,,Not reported
20191141679,19-011736,20191027,4582788,334091,02:05,Sunday,Cass,US Route,71,Both North and South,Mainline,Not reported,US 71/WHITNEY ST,US Route,Not Indicated as an Intersection,Suspected Minor Injury Crash,16000,Crossed centerline (undivided),Alcohol (Statutory),30,>= 30 and <= 34,Male
20191141679,19-011736,20191027,4582788,334091,02:05,Sunday,Cass,US Route,71,Both North and South,Mainline,Not reported,US 71/WHITNEY ST,US Route,Not Indicated as an Intersection,Suspected Minor Injury Crash,16000,Crossed centerline (undivided),Alcohol (Statutory),56,>= 55 and <= 59,Female
20191141754,2019011251,20191027,4610755,624675,21:36,Sunday,Johnson,US Route,6,Eastbound (EB),Mainline,Not reported,US 6 & FAIR MEADOWS BLVD,US Route,US Route - Municipal,Suspected Minor Injury Crash,18000,Aggressive driving/road rage,Alcohol (Statutory),45,>= 45 and <= 49,Male
20191141754,2019011251,20191027,4610755,624675,21:36,Sunday,Johnson,US Route,6,Eastbound (EB),Mainline,Not reported,US 6 & FAIR MEADOWS BLVD,US Route,US Route - Municipal,Suspected Minor Injury Crash,18000,Aggressive driving/road rage,Alcohol (Statutory),26,>= 25 and <= 29,Male
20191141843,19-00480,20191011,4634390,423473,17:00,Friday,Dallas,Iowa Route,210,Westbound (WB),Mainline,Not reported,IA 210/MAIN ST & E 1ST ST,Iowa Route,IA Route - Municipal,Property Damage Only,6000,Driver Distraction:  Other interior distraction,Alcohol (Statutory),61,>= 60 and <= 64,Male
20191141843,19-00480,20191011,4634390,423473,17:00,Friday,Dallas,Iowa Route,210,Westbound (WB),Mainline,Not reported,IA 210/MAIN ST & E 1ST ST,Iowa Route,IA Route - Municipal,Property Damage Only,6000,Driver Distraction:  Other interior distraction,Alcohol (Statutory),17,= 17,Female
20191141864,20190034579,20191030,4598173,450214,20:21,Wednesday,Polk,US Route,69,Southbound (SB),Mainline,Not reported,US 69/SE 14TH ST,US Route,Not Indicated as an Intersection,Property Damage Only,6352,Ran off road - right,Alcohol (Statutory),28,>= 25 and <= 29,Male
20191141864,20190034579,20191030,4598173,450214,20:21,Wednesday,Polk,US Route,69,Southbound (SB),Mainline,Not reported,US 69/SE 14TH ST,US Route,Not Indicated as an Intersection,Property Damage Only,6352,Ran off road - right,Alcohol (Statutory),200,,Not reported
20191141866,19-1091,20191030,4605557,458063,22:06,Wednesday,Polk,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,NE 12TH AVE & NE 56TH ST,Municipal Road,Municipal - Municipal,Property Damage Only,5500,Traveling wrong way or on wrong side of road,Alcohol (Statutory),62,>= 60 and <= 64,Male
20191141866,19-1091,20191030,4605557,458063,22:06,Wednesday,Polk,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,NE 12TH AVE & NE 56TH ST,Municipal Road,Municipal - Municipal,Property Damage Only,5500,Traveling wrong way or on wrong side of road,Alcohol (Statutory),41,>= 40 and <= 44,Female
20191141878,19-006125,20191028,4623160,450101,00:49,Monday,Polk,US Route,69,Northbound (NB),Mainline,Not reported,US 69/N ANKENY BLVD,US Route,Not Indicated as an Intersection,Property Damage Only,18000,Lost control,Alcohol (Statutory),28,>= 25 and <= 29,Female
20191142083,2019028870,20191026,4775608,507681,06:36,Saturday,Floyd,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,RUDD PARK RD & 6TH ST,Secondary Road,Secondary - Secondary,Fatal Crash,15000,Ran stop sign,Drug/Alcohol (Statutory),57,>= 55 and <= 59,Male
20191142083,2019028870,20191026,4775608,507681,06:36,Saturday,Floyd,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,RUDD PARK RD & 6TH ST,Secondary Road,Secondary - Secondary,Fatal Crash,15000,Ran stop sign,Drug/Alcohol (Statutory),29,>= 25 and <= 29,Male
20191142191,20190034733,20191101,4604070,441831,03:00,Friday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,59TH ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,13000,Exceeded authorized speed,Alcohol (Statutory),27,>= 25 and <= 29,Male
20191142195,W19-088691,20191027,4702916,555648,21:28,Sunday,Black Hawk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E MITCHELL AVE & N LA PORTE FRONTAGE RD,Municipal Road,Municipal - Municipal,Property Damage Only,3000,Traveling wrong way or on wrong side of road,Alcohol (Statutory),67,>= 65 and <= 69,Male
20191142195,W19-088691,20191027,4702916,555648,21:28,Sunday,Black Hawk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E MITCHELL AVE & N LA PORTE FRONTAGE RD,Municipal Road,Municipal - Municipal,Property Damage Only,3000,Traveling wrong way or on wrong side of road,Alcohol (Statutory),34,>= 30 and <= 34,Female
20191142252,2019024900,20190914,4650713,451843,18:15,Saturday,Story,US Route,30,Eastbound (EB),Mainline,Not reported,US 30,US Route,Not Indicated as an Intersection,Property Damage Only,2000,Followed too close,Alcohol (Statutory),22,>= 21 and <= 24,Male
20191142252,2019024900,20190914,4650713,451843,18:15,Saturday,Story,US Route,30,Eastbound (EB),Mainline,Not reported,US 30,US Route,Not Indicated as an Intersection,Property Damage Only,2000,Followed too close,Alcohol (Statutory),23,>= 21 and <= 24,Male
20191142254,2019024914,20190914,4613565,463618,22:33,Saturday,Polk,Interstate,80,Westbound (WB),Mainline,Not reported,I-80,Interstate,Not Indicated as an Intersection,Property Damage Only,5000,Driver Distraction:  Manual operation of an electronic communication device,Alcohol (Statutory),41,>= 40 and <= 44,Male
20191142254,2019024914,20190914,4613565,463618,22:33,Saturday,Polk,Interstate,80,Westbound (WB),Mainline,Not reported,I-80,Interstate,Not Indicated as an Intersection,Property Damage Only,5000,Driver Distraction:  Manual operation of an electronic communication device,Alcohol (Statutory),200,,Not reported
20191142330,2019-008215,20191101,4708649,690230,04:31,Friday,Dubuque,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,KIRKWOOD ST & ALTA VISTA ST,Municipal Road,Municipal - Municipal,Property Damage Only,3000,Lost control,Alcohol (Statutory),19,= 19,Male
20191142391,19-05927,20191031,4603109,439342,16:50,Thursday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,VINE ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,20000,FTYROW:  Making left turn,Alcohol (Statutory),45,>= 45 and <= 49,Female
20191142391,19-05927,20191031,4603109,439342,16:50,Thursday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,VINE ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,20000,FTYROW:  Making left turn,Alcohol (Statutory),45,>= 45 and <= 49,Female
20191142424,19-016883,20191101,4571763,260742,16:16,Friday,Pottawattamie,US Route,6,Westbound (WB),Mainline,Not reported,US 6/W BROADWAY & S 8TH ST & N 8TH ST,US Route,US Route - Municipal,Property Damage Only,6100,Followed too close,Alcohol (Statutory),71,>= 70 and <= 74,Male
20191142424,19-016883,20191101,4571763,260742,16:16,Friday,Pottawattamie,US Route,6,Westbound (WB),Mainline,Not reported,US 6/W BROADWAY & S 8TH ST & N 8TH ST,US Route,US Route - Municipal,Property Damage Only,6100,Followed too close,Alcohol (Statutory),91,>= 90 and <= 94,Male
20191142445,20190034863,20191101,4601317,452718,16:30,Friday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E HARTFORD AVE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,6000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),32,>= 30 and <= 34,Male
20191142473,19-30014,20191031,4604079,708375,21:55,Thursday,Scott,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,ADAM CT,Municipal Road,Not Indicated as an Intersection,Property Damage Only,8000,Ran off road - straight,Alcohol (Statutory),35,>= 35 and <= 39,Male
20191142497,20190034908,20191101,4605215,450290,22:30,Friday,Polk,Interstate,235,Ramp,Ramp,Not reported,I-235 & US 69/E 15TH ST/JOHNSON CT & MAPLE ST,Interstate,Interstate - US Route,Property Damage Only,1500,Ran traffic signal,Refused,62,>= 60 and <= 64,Female
20191142497,20190034908,20191101,4605215,450290,22:30,Friday,Polk,Interstate,235,Ramp,Ramp,Not reported,I-235 & US 69/E 15TH ST/JOHNSON CT & MAPLE ST,Interstate,Interstate - US Route,Property Damage Only,1500,Ran traffic signal,Refused,52,>= 50 and <= 54,Female
20191142504,19016505,20191030,4646069,534662,00:45,Wednesday,Tama,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,HARDING ST,Municipal Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,11000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),200,,Not reported
20191142504,19016505,20191030,4646069,534662,00:45,Wednesday,Tama,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,HARDING ST,Municipal Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,11000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),32,>= 30 and <= 34,Male
20191142607,2019-88648,20191026,4601007,704058,04:44,Saturday,Scott,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,KIRKWOOD BLVD,Municipal Road,Not Indicated as an Intersection,Property Damage Only,50000,Exceeded authorized speed,Alcohol (Statutory),29,>= 25 and <= 29,Male
20191142635,20190035025,20191103,4606688,447657,00:56,Sunday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,JEFFERSON AVE & 8TH ST,Municipal Road,Municipal - Municipal,Property Damage Only,4500,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),200,,Not reported
20191142635,20190035025,20191103,4606688,447657,00:56,Sunday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,JEFFERSON AVE & 8TH ST,Municipal Road,Municipal - Municipal,Property Damage Only,4500,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),200,,Not reported
20191142635,20190035025,20191103,4606688,447657,00:56,Sunday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,JEFFERSON AVE & 8TH ST,Municipal Road,Municipal - Municipal,Property Damage Only,4500,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),18,= 18,Male
20191142645,201916118,20191005,4652427,607409,18:35,Saturday,Linn,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,EDGEWOOD RD NE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,5000,Driver Distraction:  Other interior distraction,Alcohol (Statutory),43,>= 40 and <= 44,Male
20191142645,201916118,20191005,4652427,607409,18:35,Saturday,Linn,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,EDGEWOOD RD NE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,5000,Driver Distraction:  Other interior distraction,Alcohol (Statutory),57,>= 55 and <= 59,Female
20191142652,201917257,20191026,4647300,610291,23:03,Saturday,Linn,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,8TH AVE SW & 1ST ST SW,Municipal Road,Municipal - Municipal,Property Damage Only,5750,FTYROW:  Making left turn,Refused,23,>= 21 and <= 24,Male
20191142652,201917257,20191026,4647300,610291,23:03,Saturday,Linn,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,8TH AVE SW & 1ST ST SW,Municipal Road,Municipal - Municipal,Property Damage Only,5750,FTYROW:  Making left turn,Refused,29,>= 25 and <= 29,Female
20191142673,19-36277,20191102,4710778,222527,03:29,Saturday,Woodbury,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,DUBUQUE ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,2000,Other,Alcohol (Statutory),200,,Not reported
20191142673,19-36277,20191102,4710778,222527,03:29,Saturday,Woodbury,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,DUBUQUE ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,2000,Other,Alcohol (Statutory),31,>= 30 and <= 34,Male
20191142726,2019-90364,20191101,4604353,700064,19:23,Friday,Scott,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,N DIVISION ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,4500,Ran off road - left,Under Influence of Alcohol/Drugs/Medications,51,>= 50 and <= 54,Male
20191142749,19-001217,20191019,4653038,447548,19:58,Saturday,Story,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,UNIVERSITY BLVD & 6TH ST & IOWA STATE UNIVERSITY,Institutional Road,Institutions - Institutions,Property Damage Only,5000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),69,>= 65 and <= 69,Female
20191142749,19-001217,20191019,4653038,447548,19:58,Saturday,Story,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,UNIVERSITY BLVD & 6TH ST & IOWA STATE UNIVERSITY,Institutional Road,Institutions - Institutions,Property Damage Only,5000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),36,>= 35 and <= 39,Male
20191142784,19008776,20191101,4699904,440685,11:52,Friday,Hamilton,US Route,20,Eastbound (EB),Mainline,Not reported,US 20,US Route,Not Indicated as an Intersection,Property Damage Only,8083,Lost control,Alcohol (Statutory),77,>= 75 and <= 79,Male
20191142784,19008776,20191101,4699904,440685,11:52,Friday,Hamilton,US Route,20,Eastbound (EB),Mainline,Not reported,US 20,US Route,Not Indicated as an Intersection,Property Damage Only,8083,Lost control,Alcohol (Statutory),46,>= 45 and <= 49,Male
20191142795,2019-01059,20191103,4605756,429726,17:44,Sunday,Dallas,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,UNIVERSITY AVE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,2500,Followed too close,Alcohol (Statutory),64,>= 60 and <= 64,Male
20191142795,2019-01059,20191103,4605756,429726,17:44,Sunday,Dallas,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,UNIVERSITY AVE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,2500,Followed too close,Alcohol (Statutory),42,>= 40 and <= 44,Male
20191142837,N19000984,20191031,4623194,613631,04:44,Thursday,Johnson,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,PENN ST & PENN CT,Municipal Road,Municipal - Municipal,Property Damage Only,12000,Ran stop sign,Refused,24,>= 21 and <= 24,Male
20191142837,N19000984,20191031,4623194,613631,04:44,Thursday,Johnson,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,PENN ST & PENN CT,Municipal Road,Municipal - Municipal,Property Damage Only,12000,Ran stop sign,Refused,39,>= 35 and <= 39,Female
20191142891,19008253,20191102,4789958,509720,03:00,Saturday,Mitchell,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,HICKORY AVE,Secondary Road,Not Indicated as an Intersection,Suspected Serious Injury Crash,7000,Exceeded authorized speed,Alcohol (Statutory),29,>= 25 and <= 29,Male
20191143012,201917662,20191103,4641298,611400,00:57,Sunday,Linn,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,OKLAHOMA AVE SW & KIRKWOOD BLVD SW & KIRKWOOD COMM COLL,Municipal Road,Municipal - Institutions,Property Damage Only,2000,Lost control,Alcohol (Statutory),18,= 18,Male
20191143013,201917261,20191027,4648310,610342,00:30,Sunday,Linn,Iowa Route,922,No Travel Direction Consistent with Route,Mainline,Not reported,IA 922/1ST AVE E,Iowa Route,Not Indicated as an Intersection,Suspected Minor Injury Crash,100,Exceeded authorized speed,Alcohol (Statutory),32,>= 30 and <= 34,Female
20191143014,201917268,20191027,4645748,608152,02:11,Sunday,Linn,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,On underpass,ROCKFORD RD SW & WILSON AVE SW,Municipal Road,Municipal - Municipal,Property Damage Only,3300,Driver Distraction:  Other interior distraction,Alcohol (Statutory),27,>= 25 and <= 29,Male
20191143066,19-9012,20191003,4612508,270812,23:47,Thursday,Harrison,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd F52/READING TRL & PIERCE AVE,Secondary Road,Secondary - Secondary,Suspected Serious Injury Crash,5000,Ran off road - right,Alcohol (Statutory),26,>= 25 and <= 29,Male
20191143119,2019029294,20191030,4540198,355391,18:47,Wednesday,Adams,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd N53/CORNING/CARL RD & KENTUCKY AVE,Secondary Road,Secondary - Secondary,Possible/Unknown Injury Crash,5300,Ran off road - right,Alcohol (Statutory),34,>= 30 and <= 34,Male
20191143170,IF1908682,20191030,4708508,478652,02:07,Wednesday,Hardin,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,MARION DR,Municipal Road,Not Indicated as an Intersection,Property Damage Only,2025,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),200,,Not reported
20191143170,IF1908682,20191030,4708508,478652,02:07,Wednesday,Hardin,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,MARION DR,Municipal Road,Not Indicated as an Intersection,Property Damage Only,2025,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),52,>= 50 and <= 54,Female
20191143171,IF1908710,20191031,4707185,477904,07:03,Thursday,Hardin,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,S RIVER ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,8000,Ran off road - right,Alcohol (Statutory),38,>= 35 and <= 39,Female
